CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.09;Lucro ou Prejuízo antes das Participações e Contribuições Estatutárias;29849335.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.10;Participações nos Lucros e Contribuições Estatutárias;0.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.10;Participações nos Lucros e Contribuições Estatutárias;0.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.11;Lucro ou Prejuízo Líquido Consolidado do Período;19722871.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.11;Lucro ou Prejuízo Líquido Consolidado do Período;29849335.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.11.01;Atribuído aos Sócios da Empresa Controladora;18344326.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.11.01;Atribuído aos Sócios da Empresa Controladora;27630407.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.11.02;Atribuído aos Sócios não Controladores;1378545.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.11.02;Atribuído aos Sócios não Controladores;2218928.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.99;Lucro por Ação (R$/Ação);0.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.99;Lucro por Ação (R$/Ação);0.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.99.01;Lucro Básico por Ação;0.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.99.01;Lucro Básico por Ação;0.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.99.01.01;ON;6.4300000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.99.01.01;ON;9.6800000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.99.02;Lucro Diluído por Ação;0.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.99.02;Lucro Diluído por Ação;0.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.99.02.01;ON;6.4300000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.99.02.01;ON;9.6800000000;N
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.01;Receita de Venda de Bens e/ou Serviços;34626834.0000000000;S
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.01;Receita de Venda de Bens e/ou Serviços;34074233.0000000000;S
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-9678430.0000000000;S
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-15857610.0000000000;S
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.02.01;Energia comprada para revenda;5932.0000000000;N
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.02.01;Energia comprada para revenda;-3117655.0000000000;N
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.02.02;Encargos sobre uso da rede elétrica;-2276254.0000000000;N
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.02.02;Encargos sobre uso da rede elétrica;-2746132.0000000000;N
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.02.03;Combustível para produção de energia elétrica;-1889722.0000000000;N
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.02.03;Combustível para produção de energia elétrica;-2085996.0000000000;N
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.02.04;Construção;-1395066.0000000000;N
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.02.04;Construção;-1678631.0000000000;N
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.02.05;Pessoal, Material e Serviço;-2786732.0000000000;N
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.02.05;Pessoal, Material e Serviço;-3589651.0000000000;N
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.02.06;Depreciação;-1056466.0000000000;N
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.02.06;Depreciação;-1427843.0000000000;N
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.02.07;Amortização;-245215.0000000000;N
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.02.07;Amortização;-1052849.0000000000;N
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.02.08;Provisões operacionais;177482.0000000000;N
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.02.08;Provisões operacionais;0.0000000000;N
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.02.09;Outros;-212389.0000000000;N
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.02.09;Outros;-158853.0000000000;N
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.03;Resultado Bruto;24948404.0000000000;S
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.03;Resultado Bruto;18216623.0000000000;S
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04;Despesas/Receitas Operacionais;-12446945.0000000000;S
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.04;Despesas/Receitas Operacionais;-10495818.0000000000;S
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.01;Despesas com Vendas;0.0000000000;S
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.04.01;Despesas com Vendas;0.0000000000;S
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.02;Despesas Gerais e Administrativas;-20023861.0000000000;S
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.04.02;Despesas Gerais e Administrativas;-13417697.0000000000;S
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.02.01;Pessoal, Material, Serviço;-3343075.0000000000;N
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.04.02.01;Pessoal, Material, Serviço;-3378346.0000000000;N
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.02.02;Resultado a compensar Itaipu;0.0000000000;N
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.04.02.02;Resultado a compensar Itaipu;0.0000000000;N
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.02.06;Remuneração e Ressarcimento;0.0000000000;N
